timestamp,fng_value,fng_classification
2025-08-06,54,Neutral
2025-08-07,62,Greed
2025-08-08,74,Greed
2025-08-09,67,Greed
2025-08-10,69,Greed
2025-08-11,70,Greed
2025-08-12,68,Greed
2025-08-13,73,Greed
2025-08-14,75,Greed
2025-08-15,60,Greed
2025-08-16,56,Greed
2025-08-17,64,Greed
2025-08-18,60,Greed
2025-08-19,56,Greed
2025-08-20,44,Fear
2025-08-21,50,Neutral
2025-08-22,50,Neutral
2025-08-23,60,Greed
2025-08-24,53,Neutral
2025-08-25,47,Neutral
2025-08-26,48,Neutral
2025-08-27,51,Neutral
2025-08-28,48,Neutral
2025-08-29,50,Neutral
2025-08-30,39,Fear
2025-08-31,48,Neutral
2025-09-01,46,Fear
2025-09-02,49,Neutral
2025-09-03,55,Greed
2025-09-04,51,Neutral
2025-09-05,48,Neutral
